SiteID,ChooseMe,SiteCode,SiteName,TribTo,RFPID,MouthLat,MouthLon,SiteLat,SiteLon,ParkLat,ParkLon,County,NearTown,TownCardinal,HUC12Watershed,NearRoadCross,AccessContactName,AccessContactPhone,AccessContactEmail,AccessParking,LocationNotes,YearResto,ExpFunction
24,FALSE,LittleSwamp.Swamp,Little.Swamp.Run,Swamp Run,,41.49139,-76.728889,41.49138,-76.72889,,,,,,,,,,,,Mouth (3.5 m tall waterfall at 90 m on site),,
25,FALSE,Lopez.Loyalsock,Lopez.Creek,Loyalsock Creek,,41.458744,-76.334121,41.45703,-76.33278,,,,,,,,,,,,Upstream of post office and acid runoff,,
26,FALSE,LopezPond.Muncy,Lopez.Pond.Branch,Muncy Creek,,41.379266,-76.400558,41.37927,-76.40057,,,,,,,,,,,,Mouth to Muncy Creek,,
27,FALSE,TP.Mackeys.TheOutlet,Mackey.s.Run,The Outlet,,41.385357,-76.592059,41.39094,-76.59951,,,,,,,,,,,,End of Mackey s Run Road,,
28,FALSE,Marsh.LittleLoyalsock,Marsh.Run,Little Loyalsock Creek,,41.522839,-76.403824,41.522839,-76.403823,,,,,,,,,,,,Mouth to Little Loyalsock,,
29,FALSE,MiddleMill.Mill,Middle.Branch.Mill.Creek,Mill Creek,,41.484165,-76.753891,41.48439,-76.75435,,,,,,,,,,,,Mouth to East Branch,,
30,FALSE,MillCherryMills.LittleLoyalsock,Mill.Creek..Cherry.Mills.,Little Loyalsock Creek,,41.508694,-76.48847,41.50872,-76.48847,,,,,,,,,,,,Mouth,,
31,FALSE,MillMillview.LickMillview,Mill.Creek..Millview.,Lick Creek (Millview),,41.516109,-76.584999,41.5161,-76.58504,,,,,,,,,,,,At mouth to Lick Creek,,
32,FALSE,TP.Mill.Loyalsock,Mill.Run.,Loyalsock Creek,,41.462448,-76.487164,41.46669,-76.47659,,,,,,,,,,,,below bridge on Mary Cosgrove brother s property. Off Karge Road.,,
33,FALSE,Mosey.BigSonestown,Mosey.Run,Big Run (Sonestown),,41.361389,-76.552498,41.36278,-76.55097,,,,,,,,,,,,,,
34,FALSE,PainterDen.Lopez,Painter.Den.Creek,Lopez Creek,,41.431279,-76.323798,41.41329,-76.32718,,,,,,,,,,,,,,
35,FALSE,TP.Painter.LittleBear,Painter.Run,Little Bear Creek,,41.359444,-76.847504,41.3598,-76.84715,,,,,,,,,,,,Mouth to Little Bear Creek,,
36,FALSE,Payne.LittleLoyalsock,Payne.Run,Little Loyalsock Creek,,41.515794,-76.410342,41.515185,-76.409252,,,,,,,,,,,,Ford Dealership in Dushore,,
37,FALSE,TP.Peters.Muncy,Peter.s.Creek,Muncy Creek,,41.3825,-76.437775,41.38356,-76.43728,,,,,,,,,,,,John Peterman property  1177 Peter s Creek Rd,,
38,FALSE,PineMarsh.Rocky,Pine.Marsh.Creek,Rocky Run,,41.479455,-76.276602,41.4796,-76.27556,,,,,,,,,,,,,,
39,FALSE,Pine.Ogdonia,Pine.Run,Ogdonia Creek,,41.394722,-76.696388,41.39477,-76.69559,,,,,,,,,,,,Above culvert on Ogdonia Rd.,,
40,FALSE,TP.Porter.Hoagland,Porter.Creek,Hoagland Branch,,41.52,-76.703613,41.52133,-76.70416,,,,,,,,,,,,Confluence of Hoagland Branch,,
41,FALSE,TP.Red.LittleBear,Red.Run,Little Bear Creek,,41.349083,-76.811282,41.34909,-76.81129,,,,,,,,,,,,,,
42,FALSE,TP.Rock.LittleLoyalsock,Rock.Run,Little Loyalsock,,41.506765,-76.514563,41.501177,-76.516613,,,,,,,,,,,,Loyalsock State Forrest off Rock Run Rd,,
43,FALSE,RockBirch.Birch,Rock.Run..Birch.Creek.,Birch Creek,,41.466204,-76.433589,41.467633,-76.436165,,,,,,,,,,,,Nichols Rd bridge off Rt 220,,
44,FALSE,RockMuncy.Muncy,Rock.Run..Muncy.,Muncy Creek,,41.378887,-76.411942,41.378888,-76.41197,,,,,,,,,,,,Mouth at Muncy Creek,,
45,FALSE,Rocky.Santee,Rocky.Run,Santee Creek,,41.462327,-76.280982,41.4823,-76.27773,,,,,,,,,,,,Above marshy area  at the confluence with Pine Marsh,,
46,FALSE,Rusty.Shanerburg,Rusty.Run,Shanerburg Run,,41.422283,-76.545639,41.422162,-76.549785,,,,,,,,,,,,Above log road crossing,,
47,FALSE,Sand.Mill,Sand.Run,Mill Creek,,41.42913,-76.487667,41.429593,-76.486242,,,,,,,,,,,,At mouth of Mill Creek below Lake Rd,,
48,FALSE,TP.SandSpring.LittleBear,Sand.Spring.Run,Little Bear Creek,,41.345123,-76.798636,41.34489,-76.79786,,,,,,,,,,,,Above culvert on Little Bear Creek,,
49,FALSE,Santee.Loyalsock,Santee.Creek,Loyalsock Creek,,41.453889,-76.288889,41.4718,-76.25871,,,,,,,,,,,,Above Road Crossing (SR 1002-110),,
50,FALSE,TP.Scar.Loyalsock,Scar.Run,Loyalsock Creek,,41.471943,-76.635002,41.470536,-76.635052,,,,,,,,,,,,Buck-a-Year camp upstream of Rt 87 bridge,,
51,FALSE,TP.Shingle.Bear,Shingle.Run,Bear Creek,,41.381941,-76.769877,41.38193,-76.76989,,,,,,,,,,,,At mouth to Bear Creek,,
52,FALSE,Slip.Muncy,Slip.Run,Muncy Creek,,41.356388,-76.53389,41.35622,-76.53365,,,,,,,,,,,,20 m above bridge on Muncy Creek Road,,
53,FALSE,Snake.Bear,Snake.Run,Bear Creek,,41.382972,-76.781769,41.38209,-76.781769,,,,,,,,,,,,50 m Above pond,,
54,FALSE,UNTtoLittleKetttleRM410.ShenangoRiver,UNT to Little Ketttle RM 410,Shenango River,16782,41.31238,-80.46097,41.3134,-80.46138,,,,,,,,,,,,No stream channel in mitigation wetland complex,,
55,FALSE,South.Muncy,South.Branch,Muncy Creek,,41.378613,-76.404167,41.37844,-76.40451,,,,,,,,,,,,Mouth,,
56,FALSE,35988RM018UNTtoUNT1153.Shenango,UNT35988 RM 0.18 UNT to UNT11.53,Shenango River,16783,41.31396,-80.46018,41.31398,-80.46013,,,,,,,,,,,,"Swale next to abandoned railroad grade, no flow at wetland mitigation complex",,
57,FALSE,TP.SouthForkBear.Bear,South.Fork.Bear.Creek,Bear Creek,,41.391162,-76.740042,41.37089,-76.74029,,,,,,,,,,,,Dunwoody Club above bridge,,
58,FALSE,35990UNTRM1330.Shenango,UNT 35990 UNT RM 13.30,Shenango River,16767,41.32079,-80.48841,41.32086,-80.4889,,,,,,,,,,,,Stream bed had vegetation  across channel.  Dry under lower water levels. At Mouth,,
59,FALSE,35992RM13.82.ShenangoLake,35992 RM 13.82,Shenango River Lake,16786,41.32855,-80.47862,41.32879,-80.47834,,,,,,,,,,,,At mouth,,
60,FALSE,TP.Streby.LickMillview,Streby.Run,Lick Creek (Millview),,41.548332,-76.555275,41.548331,-76.555277,,,,,,,,,,,,Mouth,,
61,FALSE,35993RM1399.ShenangoLake,35993 RM 13.99,Shenango River Lake,16787,41.32991,-80.48025,41.33005,-80.48034,,,,,,,,,,,,At mouth,,
62,FALSE,Tublick.Muncy,Tublick.Run,Muncy Creek,,41.382778,-76.431114,41.38273,-76.43119,,,,,,,,,,,,Mouth to Muncy Creek,,
63,FALSE,35994RM1426.ShenangoLake,35994 RM 14.26,Shenango River Lake,16788,41.33108,-80.48275,41.33132,-80.48252,,,,,,,,,,,,at mouth,,
64,FALSE,UnTtoMarsh.LittleLoyalsock,Unnamed.Tributary.to.Marsh.Run,Little Loyalsock Creek,,41.53446,-76.39728,41.53446,-76.39728,,,,,,,,,,,,Mouth to Marsh Run,,
65,FALSE,35995RM1455.ShenangoLake,35995 RM 14.55,Shenango River Lake,16789,41.33463,-80.48781,41.33505,-80.48751,,,,,,,,,,,,Site 20 m upstream from mouth in clear channel,,
66,FALSE,Wampole.LittleLoyalsock,Wampole.Run,Little Loyalsock Creek,,41.504556,-76.459133,41.50436,-76.459133,,,,,,,,,,,,At mouth of Little Loyalcock,,
67,FALSE,35996RM1486toShenango.Shenango,35996 RM 14.86 to Shenango,Shenango River,16791,41.3313,-80.49106,41.3383,-80.49286,,,,,,,,,,,,"Marsh, no discernable channel, at mouth.  Wet but no flow at Kane Road.",,
68,FALSE,36004UNTRM1492toShenango.Shenango,UNT36004 UNT RM 14.92 to Shenango,Shenango River,16792,41.33048,-80.49839,41.33915,-80.49476,,,,,,,,,,,,"Marsh and vegetation, no channel at mouth. Appeared to flow at Kane Road but did not shock (landowner access)",,
69,FALSE,TP.Weed.Hoagland,Weed.Creek,Hoagland Branch,,41.530883,-76.740052,41.53089,-76.74007,,,,,,,,,,,,Mouth to Hoagland Branch,,
70,FALSE,36005RM154UNTToShenango.Shenango,UNT36005 RM15.4 UNT To Shenango,Shenango River,16793,41.34081,-80.50241,41.34182,-80.50154,,,,,,,,,,,,No discernable channel.  At mouth,,
71,FALSE,WestMill.Mill,West.Branch.Mill.Creek,Mill Creek,,41.482226,-76.753893,41.48249,-76.75488,,,,,,,,,,,,100 meters upstream of mouth to Mill Creek,,
72,FALSE,36006RM018toUNTToShenango.Shenango,UNT36006 RM 0.18 to UNT Shenango,Shenango River,16794,41.34226,-80.50135,41.34302,-80.50208,,,,,,,,,,,,Wetland ponds with no stream. At edge of farm field.,,
73,FALSE,TP.Yellow.LittleLoyalsock,Yellow.Run,Little Loyalsock Creek,,41.507486,-76.504345,41.5081,-76.504,,,,,,,,,,,,,,
74,FALSE,Butler.SugarCamp,Butler Hollow Run,Sugar Camp Run,16814,41.36929,-77.93827,41.36927,-77.93829,,,,,,,,,,,,"At mouth, stream was dry",,
75,FALSE,YellowUpperLoyalsock.Loyalsock,Yellow.Run..Upper.Loyalsock.,Loyalsock Creek,,41.4534,-76.255074,41.45325,-76.253,,,,,,,,,,,,,,
76,FALSE,DryHollow.KettleLake,Dry Hollow Run,Kettle Creek Lake,,41.37129,-77.93189,41.37129,-77.93189,,,,,,,,,,,,"At Culvert on Kettle Creek Road, Stream was dry",,
77,FALSE,JohnSummerson.Trout,John Summerson Branch,Trout Run,,,,41.44651,-77.93187,,,,,,,,,,,,,,
78,FALSE,LFBeaverDam.Kettle,Left Fork Beaver Dam Run,Kettle Creek,,,,41.40408,-77.95251,,,,,,,,,,,,,,
79,FALSE,Mackintosh.Hulling,Mackintosh Hollow,Hulling Branch,16811,41.32653,-77.85112,41.32656,-77.85109,,,,,,,,,,,,"At mouth, stream dry",,
80,FALSE,RFBeaverDam.Kettle,Right Fork to Beaver Dam Run,Kettle Creek,,,,41.40442,-77.95157,,,,,,,,,,,,,,
81,FALSE,SWBankTrib35984ofShenangoUNTRM990.ShenangoLake,UNT 35984 of Shenango UNT RM 9.90,Shenango River Lake,16781,41.29286,-80.46597,41.30114,-80.45382,,,,,,,,,,,,At mouth,,
82,FALSE,Trout.Hammersley,Wykoff Branch Trout Run,Hammersley Fork Trout run,,,,41.451664,-77.947734,,,,,,,,,,,,Wykoff Rd off of Trout Run Rd.,,
83,FALSE,UNT23400.Susquehanna,UNT23400,Susquehanna River,16817,41.23216,-77.57406,41.2366,-77.5747,,,,,,,,,,,,"Sample site at edge of State Game Land, next to private cabin lot on Hyner River Road",,
84,FALSE,UNT23662Butler.Kettle,UNT23662 Butler Hollow Run,Kettle Creek,16807,41.30152,-77.8501,41.300963,-77.851517,,,,,,,,,,,,"At end of Plank Road, 20 m past road end on forest trail to equipment ford.",,
85,FALSE,UNT35989toChestnutfork.Chestnut,UNT35989 to Chestnut Run (RM 1.52),Chestnut Run,16784,41.31698,-80.46461,41.317072,-80.463783,,,,,,,,,,,,Dry steambed at Huron St crossing,,
86,FALSE,UNT35991ToShenangoRM1373.Shenango,UNT 35991 To Shenango River RM 13.73,Shenango River,16785,41.32456,-80.48777,41.32424,-80.48872,,,,,,,,,,,,Wetland and pond. No channel at mouth,,
87,FALSE,UNT36011toBoothRM145.Booth,UNT36011 to Booth Run RM 1.45,Booth Run,16796,41.3575,-80.50987,41.357475,-80.508171,,,,,,,,,,,,Swale with no discernable channel at mouth,,
88,FALSE,UNTtoEastFerneyRM196.EastFerneyUNT23387,UNT to East Ferney Run (RM1.96),East Ferney Run UNT 23387,15700,41.210731,-77.548103,41.210731,-77.548103,,,,,,,,,,,,Five m from mouth at waterfall.  Access by Saltzman Trail and two-track path,,
89,FALSE,Walters.Kettle,Walters Run,Kettle Creek,,,,41.41492,-77.92424,,,,,,,,,,,,,,
90,FALSE,Wykoff.Trout,Wykoff Run,Trout Run,,,,41.451471,-77.947726,,,,,,,,,,,,"Island at mouth, split group to sample",,
91,FALSE,PK0-BP,Plunkett's Creek-Boulder Pool,Loyalsock Creek,,,,41.417184,-76.808735,41.416928,-76.808281,Lycoming,Barbours,S,02050206,,Steve Bernardi,,sbernardi@pa.gov,,SGL 134 Berm Removal Location,,
92,FALSE,PK0-CH,Plunkett's Creek (Chute),Loyalsock Creek,,,,41.412628,-76.807101,41.418508,-76.806438,Lycoming,Barbours,S,02050206030,,,,,,Dowmstream of berm removal. SGL 134,,
93,FALSE,PK0-KC,Plunkett's Creek (King's Confluence,Loyalsock Creek,,,,41.41884,-76.80653,41.418508,-76.806438,Lycoming,Barbours,S,02050206030,,PGC134 Site supermsor Steve Bemard,,sebrnadi@pa.gov,Follow road past brooder houses to bottom of kings confuence site,Berm removal & habitat addition section,,
94,FALSE,PK0-RK,Plunkett's Creek (Rock),Loyalsock Creek,,,,41.4194,-76.80301,41.41873,-76.804408,Lycoming,Barbours,S,0205020603 Plunketss Creek,,PGC SGL 134 site supervisor Steve Bernardi,,sbernardi,"At gate near bridge, north of farm","Upstream of bridge, Top at large Boulder",,
95,FALSE,Black.Spruce,Black.Run,Spruce Run,,40.985722,-76.98437,40.98737,-76.98729,,,,,,,,,,,,Above the bridge on Col. John Kelly Road,,
96,FALSE,Blackwater.Kings,Blackwater.Run,Kings Creek,,41.510528,-76.624891,41.50922,-76.624891,,,,,,,,,,,,Above route 154 bridge at Estella spur road,,
97,FALSE,Brewer.Wallis,Brewer.Run,Wallis Run,,41.411659,-76.884919,41.41408,-76.88472,,,,,,,,,,,,Harriet Yaw Property,,
98,FALSE,Brian.Noon,Brian.Branch,Noon Branch,,41.453011,-76.787758,41.45311,-76.78663,,,,,,,,,,,,,,
99,FALSE,Bull.Swift,Bull.Run,Swift Run,,40.81202,-77.267762,40.81212,-77.26775,,,,,,,,,,,,Loyalsock State Forrest off Rock Run Rd,,
100,FALSE,ButternutGroverun.Loyalsock,Butternut.Grove.run,Loyalsock Creek,,,,41.36329,-76.89515,,,,,,,,,,,,State forest boundary,,
101,FALSE,Cold.Penns,Cold.Run,Penns Creek,,40.881082,-77.134004,40.89328,-77.14386,,,,,,,,,,,,Bilger farm on Millmont Road,,
102,FALSE,Cold.Wallis,Cold.Run.Hollow,Wallis Run,,41.377987,-76.922209,41.38105,-76.92781,,,,,,,,,,,,Started 20 meters above where the water started to dry in the valley,,
103,FALSE,Coral.Penns,Coral.Run,Penns Creek,,40.856945,-77.264999,40.85188,-77.26737,,,,,,,,,,,,Below bridge on Thomas Dam Road,,
104,FALSE,Cove.LowerLoyalsock,Cove.Hollow,Lower Loyalsock Creek,,41.351043,-76.899027,41.35029,-76.89809,,,,,,,,,,,,at mouth to Loyalsock  walked 350m or more upstream to increasing gradient,,
105,FALSE,Cowbell.Deer,Cowbell.Hollow,Deer Creek,,41.046391,-77.075554,41.0464,-77.07559,,,,,,,,,,,,At the mouth to White Deer Creek,,
106,FALSE,CrookedRiffles.LowerLoyalsock,Crooked.Riffles.Hollow,Lower Loyalsock Creek,,41.389307,-76.844915,41.39182,-76.84174,,,,,,,,,,,,Behind house at 7630 Rt. 87,,
107,FALSE,DogtownCampUnt.WhiteDeer,Dogtown.Camp.Run..Unnamed.trib.,White Deer Creek,,41.05,-77.07,41.05103,-77.07002,,,,,,,,,,,,Above culvert on White Deer Creek Road Next to dogtown camp,,
108,FALSE,Dry.Loyalsock,Dry.Run,Loyalsock Creek,,41.362618,-76.878125,41.3719,-76.88385,,,,,,,,,,,,Top 100m at crossing of butternut grove road and dry run,,
109,FALSE,Dry.Penns,Dry.Run,Penns Creek,,40.863326,-77.043215,40.85774,-77.05502,,,,,,,,,,,,Behind penns creek adult resource center 100m below the bridge,,
110,FALSE,Dry.Susquehecka,Dry.Run,Susquehecka Creek,,40.757307,-76.943867,40.7573,-76.9439,,,,,,,,,,,,At the mouth to Susquehecka Creek,,
111,FALSE,EastWallis.Wallis,East.Branch.Wallis.Run,Wallis Run,,41.463868,-76.83637,41.463868,-76.83637,41.463597,-76.81751,Lycoming,Barbours,S,020502060506-WallisRun,cascade Rd & Lutz Rd,DCNR district forester,,"tstahl@pa.gov, rglinski@pa.gov",At gate at intersection of crossroads,"Wallis Run Hunting Club property on chapmen road  sampled below the bridge. (2012)

Walk from gate down logging road past 2 tributaries & down 3rd tributary to confluence. (2023)",,
112,FALSE,FlintVally.Middle,Flint.Vally.Run,Middle Creek,,40.76745,-76.895322,40.74973,-76.9379,,,,,,,,,,,,At farm before shaffer hill Road,,
113,FALSE,Fox.Bigtivoli,Fox.Run,Big Run (tivoli),,41.297458,-76.691152,41.29924,-76.69041,,,,,,,,,,,,Dinchers Roadside fruit stand,,
114,FALSE,Greens.MillEastmontoursville,Greens.Hollow,Mill Creek East (montoursville),,41.289481,-76.903637,41.29052,-76.90299,,,,,,,,,,,,,,
115,FALSE,Halfway.Rapid,Halfway.Run,Rapid Run,,40.990445,-77.189795,40.992262,-77.18736,,,,,,,,,,,,Lowest campsite at the R.B. Winter state park,,
116,FALSE,Hunters.ElkLickMuncy,Hunters.Run,ElkLick Run (Muncy),,41.391706,-76.468226,41.39175,-76.46517,,,,,,,,,,,,George Windoph Property on Tilley Road  Nordmont,,
117,FALSE,JoeGray.Wallis,Joe.Gray.Run,Wallis Run,,41.403332,-76.902779,41.40469,-76.9013,,,,,,,,,,,,Art Kressly Property,,
118,FALSE,Joes.Elk,Joe.s.Run,Elk Creek,,,,41.46562,-76.68147,,,,,,,,,,,,Above little league fields  up the side of the mountain.,,
119,FALSE,KettleHole.WhiteDeer,Kettle.Hole.Run,White Deer Creek,,41.071667,-77.032776,41.07164,-77.03273,,,,,,,,,,,,Mouth to white deer,,
120,FALSE,LickCherryMills.LittleLoyalsock,Lick.Creek..Cherry.Mills.,Little Loyalsock,,41.508037,-76.466668,41.50844,-76.466,,,,,,,,,,,,,,
121,FALSE,Lick.Muncy,Lick.Run,Muncy,,41.308656,-76.663056,41.30908,-76.66285,,,,,,,,,,,,Below Rt 220 bridge at Muncy Dincher Farm,,
122,FALSE,Lick.WhiteDeer,Lick.Run,White Deer Creek,,41.064999,-77.048058,41.06501,-77.04815,,,,,,,,,,,,At mouth to White Deer Creek,,
123,FALSE,Lick.MillWarrensville,Lick.Run.,Mill Creek (Warrensville),,41.294101,-76.939827,41.29731,-76.94284,,,,,,,,,,,,Above Culvert on Lick Run Road,,
124,FALSE,Limestone.WBSusquehanna,Limestone.Run,W.B. Susquehanna,,40.957611,-76.877579,40.9636,-76.8898,,,,,,,,,,,,Ball field near Antique mall in Lewisburg,,
125,FALSE,LongBrook.Muncy,Long.Brook,Muncy Creek,,41.36972,-76.488052,41.36664,-76.48471,,,,,,,,,,,,Long Brook Road,,
126,FALSE,Luphers.Middle,Luphers.Run,Middle Creek,,40.758413,-77.176652,40.74079,-77.16014,,,,,,,,,,,,Below spring hill township reservoir on reservoir road,,
127,FALSE,Martins.WestMillWarrensville,Martin.s.Run,West Mill Creek (Warrensville),,41.3478,-76.98639,41.34847,-76.98618,,,,,,,,,,,,Bridge Culvert about mill creek road (Mill creek hunting club),,
128,FALSE,Mock.PlunkettsCrreek,Mock.Creek,Plunketts Crreek,,41.436943,-76.771706,41.43717,-76.77153,,,,,,,,,,,,Mouth to Plunkets Creek,,
129,FALSE,Muddy.Spruce,Muddy.Run,Spruce Run,,40.979882,-76.983513,40.979882,-76.98783,,,,,,,,,,,,2897 Johnson Mill Road Anthony Mike Property,,
130,FALSE,NeitzValley.Middle,Neitz.Valley.Run,Middle Creek,,40.764801,-76.888416,40.75703,-76.90706,,,,,,,,,,,,Off Produce Road,,
131,FALSE,Noon.Pigeon,Noon.Run,Pigeon Creek,,41.4779903,-76.30901,41.48013,-76.30855,,,,,,,,,,,,,,
132,FALSE,Painter.Elk,Painter.Hollow,Elk Creek,,41.497453,-76.687799,41.49942,-76.68935,,,,,,,,,,,,Yellow House above culvert on Elk Creek Road,,
133,FALSE,PineName.Muncy,Pine.Name,Muncy,,41.262318,-76.719419,41.27113,-76.72579,,,,,,,,,,,,,,
134,FALSE,Pine.Rush,Pine.Run,Rush Run,,41.317298,-76.789753,41.31,-76.78,,,,,,,,,,,,469 Vandine Road Paul Solomon s property,,
135,FALSE,Reibsan.Plunketts,Reibsan.Run,Plunketts Creek,,41.439821,-76.76413,41.4397,-76.76322,,,,,,,,,,,,Snell Property 2743 Hopperstown Road,,
136,FALSE,Roaring.Wallis,Roaring.Run,Wallis Run,,41.40361,-76.922218,41.40502,-76.92336,,,,,,,,,,,,Dale Bittenbender property  Murry Run rd. started at the woods above the pipeline,,
137,FALSE,Rock.Muncy,Rock.Run,Muncy Creek,,41.378887,-76.411942,41.378887,-76.411942,,,,,,,,,,,,40 meters from the mouth,,
138,FALSE,Rush.MillMontoursville,Rush.Run,Mill Creek (Montoursville),,41.309208,-76.793162,41.309208,-76.793162,,,,,,,,,,,,469 Vandine Road Paul Solomon s property,,
139,FALSE,Salt.Wallis,Salt.Run,Wallis Creek,,41.404999,-76.896385,41.40756,-76.89719,,,,,,,,,,,,Jake Rittenhouse Property,,
140,FALSE,Sheeshly.Laurel,Sheeshly.Run,Laurel Run,,40.905834,-77.269722,40.90609,-77.26918,,,,,,,,,,,,15 m above Rt 45 bridge.,,
141,FALSE,Slab.Loyalsock,Slab.Run,Loyalsock Creek,,41.451111,-76.694725,41.45682,-76.71023,,,,,,,,,,,,Loyalsock State Park Boundary,,
142,FALSE,Slide.Panther,Slide.Hollow,Panther Run,,40.965086,-77.175328,40.96514,-77.17562,,,,,,,,,,,,Mouth to Panther Run at Middle ridge and Molasses gap trail intersection,,
143,FALSE,Spring.Muncy,Spring.Run,Muncy Creek,,41.319975,-76.620611,41.32786,-76.620949,,,,,,,,,,,,Below Road Crossing,,
144,FALSE,Spruce.Laurel,Spruce.Run.,Laurel Run,,40.889099,-77.19635,40.88955,-77.19573,,,,,,,,,,,,Mouth,,
145,FALSE,Stony.Loyalsock,Stony.Run,Loyalsock Creek,,41.412224,-76.708611,41.413,-76.7021,,,,,,,,,,,,Lewis Lumber land  300m upstream of Rt 87 bridge,,
146,FALSE,Stony.Middle,Stony.Run,Middle Creek,,40.767857,-77.193596,40.7711,-77.193598,,,,,,,,,,,,Middle Creek Road Rt 235 where stoney crosses  sampled below the bridge.,,
147,FALSE,Susquehecka.Middle,Susquehecka.Creek,Middle Creek,,40.774251,-76.902475,40.76108,-76.93781,,,,,,,,,,,,Freeburg Fairgrounds,,
148,FALSE,Sweitzers.Penns,Sweitzer.s.Run,Penns Creek,,40.88428,-77.03498,40.88428,-77.03498,,,,,,,,,,,,Bill Roush property,,
