EventsID,SiteCode,EventCode,Personnel,CrewLeader,SiteName,TribTo,Date,TimeStart,TimeEnd,MouthLat,MouthLon,SiteLat,SiteLon,Discharge,WaterTemp,pH,SpecCond,Alk,DO,Hardness,AirTemp,Turbidity,Format,Unassessed,Connectivity,Loyalsock,FarmStreams,Other,Location,EventNotes,Weather,WQTime
12,Sand.Mill,201106.Sand.Mill,,,Sand.Run,Mill Creek,6/7/2011,,,41.42913,-76.487667,41.429593,-76.486242,,16.7,5.8,20,11,,,,,Single,Unassessed,,,,,At mouth of Mill Creek below Lake Rd,,,
13,Sand.MillMokoma,201106.Sand.MillMokoma,,,Sand.Run,Mill Creek (Mokoma),6/7/2011,,,,,41.429593,-76.486242,,16.7,5.8,20,4.4,,,,,Repeated,,,Loyalsock,,,At mouth of Mill Creek below Lake Rd,,,
14,HighRock.Loyalsock,201106.HighRock.Loyalsock,,,High.Rock.Run,Loyalsock Creek,6/8/2011,,,41.473339,-76.581448,41.479914,-76.579014,,16.5,4.75,27,5.4,,,,,Single,Unassessed,,,,,Downstream of Loyalsock Rd,,,
15,Level.Lick,201106.Level.Lick,,,Level.Branch,Lick Creek,6/8/2011,,,,,41.553886,-76.553158,,12.6,7.67,67,76.7,,,,,Repeated,,,Loyalsock,,,Dennis Hottenstein property,,,
16,Streby.Lick,201106.Streby.Lick,,,Streby.Run,Lick Creek,6/8/2011,,,,,41.548331,-76.555277,,15.7,7.96,122,53.7,,,,,Repeated,,,Loyalsock,,,Mouth,,,
17,TP.Level.LickMillview,201106.TP.Level.LickMillview,,,Level.Branch,Lick Creek (Millview),6/8/2011,,,41.553333,-76.554726,41.553886,-76.553158,,12.6,7.67,67,76.7,,,,,Single,Unassessed,,,,,Dennis Hottenstein property,,,
18,TP.Scar.Loyalsock,201106.TP.Scar.Loyalsock,,,Scar.Run,Loyalsock Creek,6/8/2011,,,41.471943,-76.635002,41.470536,-76.635052,,15.3,7.24,47,33.4,,,,,Single,Unassessed,,,,,Buck-a-Year camp upstream of Rt 87 bridge,,,
19,TP.Streby.LickMillview,201106.TP.Streby.LickMillview,,,Streby.Run,Lick Creek (Millview),6/8/2011,1:45:00 PM,,41.548332,-76.555275,41.548331,-76.555277,,15.7,7.96,122,134.2,,,,,Single,Unassessed,,,,,Mouth,,,
20,Cape.Loyalsock,201106.Cape.Loyalsock,,,Cape.Run,Loyalsock Creek,6/9/2011,,,41.463333,-76.654999,41.463241,-76.654999,,15.4,7.4,42,41.3,,,,,Single,Unassessed,,,,,Dave Hewitt property upstream of culvert on Splash Dam Rd,,,
21,Joes.Loyalsock,201106.Joes.Loyalsock,,,Joe.s.Run,Loyalsock Creek,6/9/2011,,,41.461414,-76.687051,41.46269,-76.685318,,19,7.57,50,47.5,,,,,Single,Unassessed,,,,,At the gate to Green Acres Baseball Camp,,,
22,Scar.LowerLoyalsock,201106.Scar.LowerLoyalsock,,,Scar.Run,Lower Loyalsock,6/9/2011,,,,,41.470536,-76.635052,,15.3,7.24,47,13.4,,,,,Repeated,,,Loyalsock,,,Buck-a-Year camp upstream of Rt 87 bridge,,,
23,Slab.Loyalsock,201106.Slab.Loyalsock,,,Slab.Run,Loyalsock Creek,6/9/2011,,,41.451111,-76.694725,41.448171,-76.698917,,16.3,6.35,22,17.7,,,,,Single,Unassessed,,,,,Dry at mouth. Went up 260 m to find water,,,
24,TP.DryOgdonia.Loyalsock,201106.TP.DryOgdonia.Loyalsock,,,Dry.Run..Ogdonia.,Loyalsock Creek,6/9/2011,,,41.418056,-76.708611,41.419941,-76.704952,,15.6,7.37,45,90,,,,,Single,Unassessed,,,,,Behind DCNR office where Stony Run trail crosses creek,,,
25,Barkshed.Loyalsock,201106.Barkshed.Loyalsock,,,Barkshed.Run,Loyalsock Creek,6/10/2011,,,41.456363,-76.673686,41.455699,-76.673562,0.06,11.7,7.58,36,42.3,,,,,Single,Unassessed,,,,,Dave Hewitt property upstream of Rt 87 culvert,,,
26,DrySock.LowerLoyalsock,201106.DrySock.LowerLoyalsock,,,Dry.Run.Sock,Lower Loyalsock Creek,6/10/2011,,,,,41.419941,-76.704952,,15.6,7.37,45,36,,,,,Repeated,,,Loyalsock,,,Behind DCNR office where Stony Run trail crosses creek,,,
27,Rocky.Santee,201106.Rocky.Santee,,,Rocky.Run,Santee Creek,6/20/2011,,,41.462327,-76.280982,41.4823,-76.27773,,17.3,4.88,15,5.1,,,,,Single,Unassessed,,,,,Above marshy area  at the confluence with Pine Marsh,,,
28,TP.FlagMarsh.Pigeon,201106.TP.FlagMarsh.Pigeon,,,Flag.Marsh.Run,Pigeon Creek,6/20/2011,,,41.476077,-76.309056,41.47611,-76.309056,,14.1,6.62,22,18.6,,,,,Single,Unassessed,,,,,Mouth,,,
29,UnTtoMarsh.LittleLoyalsock,201106.UnTtoMarsh.LittleLoyalsock,,,Unnamed.Tributary.to.Marsh.Run,Little Loyalsock Creek,6/20/2011,,,41.53446,-76.39728,41.53446,-76.39728,,17.5,7.92,97,147.4,,,,,Single,Unassessed,,,,,Mouth to Marsh Run,,,
30,FlagMarsh.Pigeon,201106.FlagMarsh.Pigeon,,,Flag.Marsh.Run,Pigeon Creek,6/21/2011,,,,,41.47611,-76.309056,,14.1,6.62,22,7.4,,,,,Repeated,,,Loyalsock,,,Mouth,,,
31,RockMuncy.Muncy,201106.RockMuncy.Muncy,,,Rock.Run..Muncy.,Muncy Creek,6/21/2011,,,41.378887,-76.411942,41.378888,-76.41197,,15.1,6.92,32,24.2,,,,,Single,Unassessed,,,,,Mouth at Muncy Creek,,,
32,South.Muncy,201106.South.Muncy,,,South.Branch,Muncy Creek,6/21/2011,,,41.378613,-76.404167,41.37844,-76.40451,,15,6.28,21,10.2,,,,,Single,Unassessed,,,,,Mouth,,,
33,Cold.ShumansLake,201106.Cold.ShumansLake,,,Cold.Run,Shumans Lake,6/22/2011,,,41.44802,-76.275736,41.44669,-76.27077,,18,5.06,14,7.6,,,,,Single,Unassessed,,,,,At end of game road,,,
34,Dry.Muncy,201106.Dry.Muncy,,,Dry.Hollow,Muncy Creek,6/22/2011,,,41.379166,-76.707501,41.37925,-76.40771,,14.7,6.34,26,15.5,,,,,Single,Unassessed,,,,,40 meters upstream of mouth (first 40m were dry),,,
35,LopezPond.Muncy,201106.LopezPond.Muncy,,,Lopez.Pond.Branch,Muncy Creek,6/22/2011,,,41.379266,-76.400558,41.37927,-76.40057,,13,5.99,21,14.6,,,,,Single,Unassessed,,,,,Mouth to Muncy Creek,,,
36,Santee.Loyalsock,201106.Santee.Loyalsock,,,Santee.Creek,Loyalsock Creek,6/22/2011,,,41.453889,-76.288889,41.4718,-76.25871,,16.7,4.72,20,3.8,,,,,Single,Unassessed,,,,,Above Road Crossing (SR 1002-110),,,
37,Wampole.LittleLoyalsock,201106.Wampole.LittleLoyalsock,,,Wampole.Run,Little Loyalsock Creek,6/22/2011,,,41.504556,-76.459133,41.50436,-76.459133,,16.6,7.55,80,101,,,,,Single,Unassessed,,,,,At mouth of Little Loyalcock,,,
38,Coal.Loyalsock,201106.Coal.Loyalsock,,,Coal.Run,Loyalsock Creek,6/23/2011,,,41.460794,-76.521589,41.46088,-76.52153,,15.8,7.6,30,30,,,,,Single,Unassessed,,,,,At mouth of Upper Loyalsock,,,
39,YellowUpperLoyalsock.Loyalsock,201106.YellowUpperLoyalsock.Loyalsock,,,Yellow.Run..Upper.Loyalsock.,Loyalsock Creek,6/23/2011,,,41.4534,-76.255074,41.45325,-76.253,,15.9,4.97,18,7,,,,,Single,Unassessed,,,,,,,,
40,Coal.UpperLoyalsock,201106.Coal.UpperLoyalsock,,,Coal.Run,Upper Loyalsock Creek,6/24/2011,,,,,41.46088,-76.52153,,15.8,7.6,30,12,,,,,Repeated,,,Loyalsock,,,At mouth of Upper Loyalsock,,,
41,Mill.Loyalsock,201106.Mill.Loyalsock,,,Mill.Creek,Loyalsock Creek,6/24/2011,,,41.459999,-76.510559,41.45971,-76.50998,,18.6,7.62,45,41,,,,,Single,Unassessed,,,,,Mouth  upstream of railroad bridge,,,
42,LickCherryMills.LittleLoyalsock,201106.LickCherryMills.LittleLoyalsock,,,Lick.Creek..Cherry.Mills.,Little Loyalsock Creek,6/27/2011,2:00:00 PM,,41.508037,-76.466668,41.50895,-76.46555,,19.2,7.67,112,106.8,,,,,Single,Unassessed,,,,,Above Gainer Hill Rd bridge in Cherry Mills,,,
43,Ellis.UpperLoyalsock,201106.Ellis.Loyalsock,,,Ellis.Creek,Loyalsock Creek,6/28/2011,,,41.450229,-76.376373,41.44606,-76.37416,,14.6,5.67,17,4.7,,,,,Single,Unassessed,,,,,Gamelands 13,,,
44,Ellis.UpperLoyalsock,201106.Ellis.UpperLoyalsock,,,Ellis.Creek,Upper Loyalsock Creek,6/28/2011,,,,,41.44606,-76.37416,,14.6,5.67,17,1.9,,,,,Repeated,,,Loyalsock,,,Gamelands 13,,,
45,Lopez.Loyalsock,201106.Lopez.Loyalsock,,,Lopez.Creek,Loyalsock Creek,6/28/2011,,,41.458744,-76.334121,41.45703,-76.33278,,16.1,5.43,16,4.3,,,,,Single,Unassessed,,,,,Upstream of post office and acid runoff,,,
46,MillMillview.LickMillview,201106.MillMillview.LickMillview,,,Mill.Creek..Millview.,Lick Creek (Millview),6/28/2011,2:15:00 PM,,41.516109,-76.584999,41.5161,-76.58504,,16.8,7.32,97,36.9,,,,,Single,Unassessed,,,,,At mouth to Lick Creek,,,
47,BigBottom.LittleLoyalsock,201106.BigBottom.LittleLoyalsock,,,Big.Bottom.Run,Little Loyalsock Creek,6/29/2011,,,41.50777,-76.549646,41.50991,-76.54912,,16.1,7.46,147,145,,,,,Single,Unassessed,,,,,Upstream of culvert by Rt 87 bridge,,,
48,MillCherryMills.LittleLoyalsock,201106.MillCherryMills.LittleLoyalsock,,,Mill.Creek..Cherry.Mills.,Little Loyalsock Creek,6/29/2011,,,41.508694,-76.48847,41.50872,-76.48847,,15.4,7.21,65,65.4,,,,,Single,Unassessed,,,,,Mouth,,,
49,Porter.Hoagland,201106.Porter.Hoagland,,,Porter.Creek,Hoagland Branch,6/29/2011,,,,,41.52133,-76.70416,,17,7.4,91,28.8,,,,,Repeated,,,Loyalsock,,,Confluence of Hoagland Branch,,,
50,TP.Cherry.Muncy,201106.TP.Cherry.Muncy,,,Cherry.Run,Muncy Creek,6/29/2011,,,41.374168,-76.467224,41.36821,-76.46597,,15.5,6.96,54,58.4,,,,,Single,Unassessed,,,,,Cherry Run Rd above one-lane iron bridge on Cherry Run R&G Club,,,
51,TP.Peters.Muncy,201106.TP.Peters.Muncy,,,Peter.s.Creek,Muncy Creek,6/29/2011,,,41.3825,-76.437775,41.38356,-76.43728,,12.7,7.44,59,63,,,,,Single,Unassessed,,,,,John Peterman property  1177 Peter s Creek Rd,,,
52,TP.Porter.Hoagland,201106.TP.Porter.Hoagland,,,Porter.Creek,Hoagland Branch,6/29/2011,,,41.52,-76.703613,41.52133,-76.70416,,17,7.4,91,72.1,,,,,Single,Unassessed,,,,,Confluence of Hoagland Branch,,,
53,LongBrook.Muncy,201106.LongBrook.Muncy,,,Long.Brook,Muncy Creek,6/30/2011,,,41.36972,-76.488052,41.36998,-76.48712,,13.7,7.7,117,146.7,,,,,Single,Unassessed,,,,,Nordmont and Sonestown Road juntion with Long Brook Road,,,
54,Slip.Muncy,201106.Slip.Muncy,,,Slip.Run,Muncy Creek,6/30/2011,,,41.356388,-76.53389,41.35622,-76.53365,,16.6,7.34,73,67.4,,,,,Single,Unassessed,,,,,20 m above bridge on Muncy Creek Road,,,
55,Tublick.Muncy,201106.Tublick.Muncy,,,Tublick.Run,Muncy Creek,6/30/2011,,,41.382778,-76.431114,41.38273,-76.43119,,16.7,6.36,28,12.4,,,,,Single,Unassessed,,,,,Mouth to Muncy Creek,,,
56,Big.Muncy,201107.Big.Muncy,,,Big.Run,Muncy Creek,7/1/2011,,,41.380001,-76.444168,41.37756,-76.444168,,12.9,7.46,125,142.8,,,,,Single,Unassessed,,,,,200 meters above mouth  above posted signs,,,
57,DryLowerLoyalsock.Loyalsock,201107.DryLowerLoyalsock.Loyalsock,,,Dry.Run..Lower.Loyalsock.,Loyalsock Creek,7/4/2011,,,41.362618,-76.878125,41.36275,-76.87803,,,,,,,,,,Single,Unassessed,,,,,,,,
58,CrookedRiffles.NA,201107.CrookedRiffles.NA,,,Crooked.Riffles.Hollow,,7/5/2011,,,41.351043,-76.899027,41.351,-76.89935,,,,,,,,,,Single,Unassessed,,,,,Mouth to Hassler Run,,,
59,LittleSwamp.Swamp,201107.LittleSwamp.Swamp,,,Little.Swamp.Run,Swamp Run,7/5/2011,,,41.49139,-76.728889,41.49138,-76.72889,,15.1,6.96,53,36.9,,,,,Single,Unassessed,,,,,Mouth (3.5 m tall waterfall at 90 m on site),,,
60,Painter.LittleBear,201107.Painter.LittleBear,,,Painter.Run,Little Bear Creek,7/5/2011,,,,,41.3598,-76.84715,,15.9,6.92,32,7.6,,,,,Repeated,,,Loyalsock,,,Mouth to Little Bear Creek,,,
61,TP.Painter.LittleBear,201107.TP.Painter.LittleBear,,,Painter.Run,Little Bear Creek,7/5/2011,,,41.359444,-76.847504,41.3598,-76.84715,,15.9,6.92,32,18.9,,,,,Single,Unassessed,,,,,Mouth to Little Bear Creek,,,
62,DryHB.Hoagland,201107.DryHB.Hoagland,,,Dry.Run.HB,Hoagland Branch,7/6/2011,,,,,41.51405,-76.71452,,15.7,7.05,60,18.9,,,,,Repeated,,,Loyalsock,,,Along Dry Run Road,,,
63,EastMill.Mill,201107.EastMill.Mill,,,East.Branch.Mill.Creek,Mill Creek,7/6/2011,,,41.482224,-76.753891,41.48261,-76.75341,,14.3,6.99,55,52.8,,,,,Single,Unassessed,,,,,Upstream of Mill Creek Rd bridge,,,
64,Swamp.Hoagland,201107.Swamp.Hoagland,,,Swamp.Run,Hoagland Branch,7/6/2011,,,,,41.49084,-76.71973,,15.4,7.32,61,41.1,,,,,Repeated,Unassessed,,Loyalsock,,,Mouth,,,
65,TP.Brunnerdale.Ogdonia,201107.TP.Brunnerdale.Ogdonia,,,Brunnerdale.Run,Ogdonia Creek,7/6/2011,,,41.385555,-76.669167,41.38554,-76.66904,,16.1,6.53,39,22.3,,,,,Single,Unassessed,,,,,At mouth to Ogdonia Creek along Loyalsock Trail,,,
66,TP.DryHoagland.Hoagland,201107.TP.DryHoagland.Hoagland,,,Dry.Run..Hoagland.Branch.,Hoagland Branch,7/6/2011,,,41.511391,-76.709724,41.51405,-76.71452,,15.7,7.05,60,47.3,,,,,Single,Unassessed,,,,,about 200m above mouth,,,
67,Brunnerdale.Ogdonia,201107.Brunnerdale.Ogdonia,,,Brunnerdale.Run,Ogdonia Creek,7/7/2011,,,,,41.38554,-76.66904,,16.1,6.53,39,8.9,,,,,Repeated,,,Loyalsock,,,At mouth to Ogdonia Creek along Loyalsock Trail,,,
68,MiddleMill.Mill,201107.MiddleMill.Mill,,,Middle.Branch.Mill.Creek,Mill Creek,7/7/2011,,,41.484165,-76.753891,41.48439,-76.75435,,15.6,6.84,42,46.5,,,,,Single,Unassessed,,,,,Mouth to East Branch,,,
69,WestMill.Mill,201107.WestMill.Mill,,,West.Branch.Mill.Creek,Mill Creek,7/7/2011,,,41.482226,-76.753893,41.48249,-76.75488,,17.3,7.43,76,82.2,,,,,Single,Unassessed,,,,,100 meters upstream of mouth to Mill Creek,,,
70,Red.LittleBear,201107.Red.LittleBear,,,Red.Run,Little Bear Creek,7/8/2011,,,,,41.34909,-76.81129,,13.5,6.33,19,5.1,,,,,Repeated,,,Loyalsock,,,Above Culvert on Little Bear Creek Road,,,
71,Sherman.UpperLoyalsock,201107.Sherman.UpperLoyalsock,,,Sherman.Run,Upper Loyalsock,7/8/2011,,,,,41.45211,-76.35185,,15.7,5.45,18,3.6,,,,,Repeated,Unassessed,,Loyalsock,,,Above culvert at end of Main St. Lewis Lumber/ Sysock property,,,
72,TP.Red.LittleBear,201107.TP.Red.LittleBear,,,Red.Run,Little Bear Creek,7/8/2011,,,41.349083,-76.811282,41.34909,-76.81129,,13.5,6.33,19,12.8,,,,,Single,Unassessed,,,,,,,,
73,PainterDen.Lopez,201107.PainterDen.Lopez,,,Painter.Den.Creek,Lopez Creek,7/9/2011,,,41.431279,-76.323798,41.41329,-76.32718,,17.6,5.01,15,8,,,,,Single,Unassessed,,,,,,,,
74,TP.Grandad.Hessler,201107.TP.Grandad.Hessler,,,Grandad.Run,Hessler Branch,7/9/2011,,,41.357099,-76.748738,41.35706,-76.7487,,14.7,6.11,13,9,,,,,Single,Unassessed,,,,,At the mouth of Hessler Branch,,,
75,TP.SandSpring.LittleBear,201107.TP.SandSpring.LittleBear,,,Sand.Spring.Run,Little Bear Creek,7/9/2011,,,41.345123,-76.798636,41.34489,-76.79786,,12,6.02,14,12.2,,,,,Single,Unassessed,,,,,Above culvert on Little Bear Creek,,,
76,TP.Yellow.LittleLoyalsock,201107.TP.Yellow.LittleLoyalsock,,,Yellow.Run,Little Loyalsock Creek,7/9/2011,,,41.507486,-76.504345,41.5081,-76.504,,18.3,7.39,124,101.8,,,,,Single,Unassessed,,,,,,,,
77,Yellow.LittleLoyalsock,201107.Yellow.LittleLoyalsock,,,Yellow.Run,Little Loyalsock Creek,7/9/2011,,,,,41.5081,-76.504,,18.3,7.39,124,40.7,,,,,Repeated,,,Loyalsock,,,Above Rt 87 Bridge,,,
78,Grandad.Hessler,201107.Grandad.Hessler,,,Grandad.Run,Hessler Branch,7/10/2011,,,,,41.35706,-76.7487,,14.7,6.11,13,9,,,,,Repeated,,,Loyalsock,,,At the mouth of Hessler Branch,,,
79,SandSpring.LittleBear,201107.SandSpring.LittleBear,,,Sand.Spring.Run,Little Bear Creek,7/10/2011,,,,,41.34489,-76.79786,,12,6.02,14,4.9,,,,,Repeated,,,Loyalsock,,,Above culvert on Little Bear Creek,,,
80,TP.Huckle.Loyalsock,201107.TP.Huckle.Loyalsock,,,Huckle.Run,Loyalsock Creek,7/10/2011,,,41.418222,-76.709546,41.41844,-76.71111,,16.8,7.28,40,30.3,,,,,Single,Unassessed,,,,,Stenzer property at mouth,,,
81,Falls.Ogdonia,201107.Falls.Ogdonia,,,Falls.Run,Ogdonia Creek,7/11/2011,,,41.390278,-76.679169,41.39202,-76.67776,,17.2,6.45,28,18,,,,,Single,Unassessed,,,,,,,,
82,Huckle.Loyalsock,201107.Huckle.Loyalsock,,,Huckle.Run,Loyalsock,7/11/2011,,,,,41.41844,-76.71111,,16.8,7.28,40,12.1,,,,,Repeated,,,Loyalsock,,,Stenzer property at mouth,,,
83,Pine.Ogdonia,201107.Pine.Ogdonia,,,Pine.Run,Ogdonia Creek,7/11/2011,,,41.394722,-76.696388,41.39477,-76.69559,,17.8,7.3,44,29.8,,,,,Single,Unassessed,,,,,Above culvert on Ogdonia Rd.,,,
84,PineMarsh.Rocky,201107.PineMarsh.Rocky,,,Pine.Marsh.Creek,Rocky Run,7/11/2011,,,41.479455,-76.276602,41.4796,-76.27556,,17.1,5.42,15,7.4,,,,,Single,Unassessed,,,,,,,,
85,BearCreek.Loyalsock,201107.BearCreek.Loyalsock,,,Bear.Creek,Loyalsock Creek,7/12/2011,,,41.392062,-76.801785,41.38325,-76.7775,,17.4,7.24,30,31.4,,,,,Single,Unassessed,,,,,Above bridge onto Grouse Club property from Dunwoody Club,,,
86,Shingle.Bear,201107.Shingle.Bear,,,Shingle.Run,Bear Creek,7/12/2011,,,,,41.38193,-76.76989,,17.7,6.1,13,3.7,,,,,Repeated,,,Loyalsock,,,At mouth to Bear Creek,,,
87,Snake.Bear,201107.Snake.Bear,,,Snake.Run,Bear Creek,7/12/2011,,,41.382972,-76.781769,41.38209,-76.781769,,16.7,7.12,28,27.5,,,,,Single,Unassessed,,,,,50 m Above pond,,,
88,Snake.BearLoyalsock,201107.Snake.BearLoyalsock,,,Snake.Run,Bear Creek (Loyalsock),7/12/2011,,,,,41.38209,-76.781769,,16.7,7.12,28,11,,,,,Repeated,,,Loyalsock,,,50 m Above pond,,,
89,Stony.Loyalsock,201107.Stony.Loyalsock,,,Stony.Run,Loyalsock Creek,7/12/2011,,,41.412224,-76.708611,41.41335,-76.70508,,,,,,,,,,Single,Unassessed,,,,,,,,
90,TP.Shingle.Bear,201107.TP.Shingle.Bear,,,Shingle.Run,Bear Creek,7/12/2011,,,41.381941,-76.769877,41.38193,-76.76989,,17.7,6.1,13,9.3,,,,,Single,Unassessed,,,,,At mouth to Bear Creek,,,
91,TP.SouthForkBear.Bear,201107.TP.SouthForkBear.Bear,,,South.Fork.Bear.Creek,Bear Creek,7/12/2011,,,41.391162,-76.740042,41.37089,-76.74029,,14.7,6.98,26,29.6,,,,,Single,Unassessed,,,,,Dunwoody Club above bridge,,,
92,Cove.Loyalsock,201107.Cove.Loyalsock,,,Cove.Hollow,Loyalsock Creek,7/13/2011,,,41.389307,-76.844915,41.38935,-76.84444,,,,,,,,,,Single,Unassessed,,,,,Mouth to Lower Loyalsock,,,
93,TP.LickKings.Kings,201107.TP.LickKings.Kings,,,Lick.Run..Kings.Creek.,Kings Creek,7/13/2011,,,41.510046,-76.64416,41.50767,-76.64373,,15.5,7.51,56,58.9,,,,,Single,Unassessed,,,,,North Bear Mtn Rd on Missingman property,,,
94,Warburton.Hoagland,201107.Warburton.Hoagland,,,Warburton.Hollow,Hoagland Branch,7/13/2011,,,41.48121,-76.695471,41.48126,-76.69548,,,,,,,,,,Single,Unassessed,,,,,Camps at the end of Thomson Lane (200 meters from mouth),,,
95,Lick.Kings,201107.Lick.Kings,,,Lick.Run,Kings Creek,7/14/2011,,,,,41.50767,-76.64373,,15.5,7.51,56,23.6,,,,,Repeated,,,Loyalsock,,,North Bear Mtn Rd on Missingman property,,,
96,Noon.Pigeon,201107.Noon.Pigeon,,,Noon.Run,Pigeon Creek,7/18/2011,,,41.479903,-76.30901,41.479905,-76.30902,,,,,,,,,,Single,Unassessed,,,,,,,,
97,TP.FallHoagland.Hoagland,201107.TP.FallHoagland.Hoagland,,,Fall.Run..Hoagland.Branch.,Hoagland Branch,7/18/2011,,,41.535469,-76.740601,41.53544,-76.74061,,18.2,7.79,106,99.4,,,,,Single,Unassessed,,,,,20 m upstream from mouth,,,
98,BearSwamp.Wolf,201107.BearSwamp.Wolf,,,Bear.Swamp.Run,Wolf Run,7/19/2011,,,41.393025,-76.310042,41.39288,-76.30991,,19.3,4.38,30,,,,,,Single,Unassessed,,,,,Approx. 40 meters upstream of mouth,,,
99,Fall.Hoagland,201107.Fall.Hoagland,,,Fall.Run,Hoagland Branch,7/19/2011,,,,,41.53544,-76.74061,,18.2,7.79,106,39.8,,,,,Repeated,,,Loyalsock,,,20 m upstream from mouth,,,
100,TP.Weed.Hoagland,201107.TP.Weed.Hoagland,,,Weed.Creek,Hoagland Branch,7/19/2011,,,41.530883,-76.740052,41.53089,-76.74007,,18.5,7.68,74,84.5,,,,,Single,Unassessed,,,,,Mouth to Hoagland Branch,,,
101,Weed.Hoagland,201107.Weed.Hoagland,,,Weed.Creek,Hoagland Branch,7/19/2011,,,,,41.53089,-76.74007,,18.5,7.68,74,23.8,,,,,Repeated,,,Loyalsock,,,Mouth to Hoagland Branch,,,
102,Lake.Elk,201107.Lake.Elk,,,Lake.Run,Elk Creek,7/20/2011,,,,,41.55373,-76.66962,,18.4,7.54,76,80.9,,,,,Repeated,Unassessed,,Loyalsock,,,Mouth to Elk Creek,,,
103,Painter.Elk,201107.Painter.Elk,,,Painter.Hollow,Elk Creek,7/20/2011,,,41.497453,-76.687799,41.49746,-76.687799,,,,,,,,,,Single,Unassessed,,,,,Mouth to Elk Creek,,,
104,Mosey.BigSonestown,201107.Mosey.BigSonestown,,,Mosey.Run,Big Run (Sonestown),7/26/2011,,,41.361389,-76.552498,41.36278,-76.55097,,18.2,8.24,235,94.6,,,,,Single,Unassessed,,,,,,,,
105,TP.Mackeys.TheOutlet,201107.TP.Mackeys.TheOutlet,,,Mackey.s.Run,The Outlet,7/26/2011,,,41.385357,-76.592059,41.39094,-76.59951,,18.8,8.09,275,176.2,,,,,Single,Unassessed,,,,,End of Mackey s Run Road,,,
106,Floodwood.Loyalsock,201107.Floodwood.Loyalsock,,,Floodwood.Creek,Loyalsock Creek,7/27/2011,,,41.450639,-76.436829,41.4424,-76.439,,17.8,5.29,17,6.6,,,,,Single,Unassessed,,,,,Approximately 100m below falls. Started at bridge on Thorndale Road.,,,
