SurveyID,SiteCode,EventCode,Date,Watername,TribTo,Time,CrewLeader,Comments,Location,Length,AveWid,Wid1,Wid2,Wid3,Wid4,Wid5,VoltStart,FreqStart,DutyStart,Volts,FreqEnd,DutyEnd,Flow,EffortMin,Seconds,Pass1TimeA,Pass2TimeA,Pass3TimeA,Pass1TimeB,Pass2TimeB,Pass3TimeB,Pass1TimeC,Pass2TimeC,Pass3TimeC,Pass1TimeD,Pass2TimeD,Pass3TimeD,PEAllTrout,PEBrook,PEBrown,PERainbow,PEYOYAll,PEYOYBrook,PEYOYBrown,PEYOYRainbow,PEAdtAll,PEAdtBrook,PEAdtBrown,PEAdtRainbow,BrookP1,BrookP2,BrookP3,BrownP1,BrownP2,BrownP3,RainP1,RainP2,RainP3,TigerP1,TigerP2,TigerP3,TotalP1,TotalP2,TotalP3,GrandTotal,NumShockers,TimeStamp,IDBy,RecordBy,Crew,RFPID,SurveyNotes,Operators,Netters
11,Sand.Mill,201106.Sand.Mill,07-Jun-11,Sand.Run,Mill Creek,,,,At mouth of Mill Creek below Lake Rd,100,2.24,,,,,,,,,,,,,26,1535,968,567,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
12,Sand.MillMokoma,201106.Sand.MillMokoma,07-Jun-11,Sand.Run,Mill Creek (Mokoma),,,,At mouth of Mill Creek below Lake Rd,100,2.24,,,,,,,,,,,,,16,968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
13,HighRock.Loyalsock,201106.HighRock.Loyalsock,08-Jun-11,High.Rock.Run,Loyalsock Creek,,,,Downstream of Loyalsock Rd,100,1,,,,,,,,,,,,,9,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
14,Level.Lick,201106.Level.Lick,08-Jun-11,Level.Branch,Lick Creek,,,,Dennis Hottenstein property,108,7.48,,,,,,,,,,,,,48,2908,1490,814,604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
15,Streby.Lick,201106.Streby.Lick,08-Jun-11,Streby.Run,Lick Creek,,,,Mouth,116,3.48,,,,,,,,,,,,,34,2036,860,675,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
16,TP.Level.LickMillview,201106.TP.Level.LickMillview,08-Jun-11,Level.Branch,Lick Creek (Millview),,,,Dennis Hottenstein property,308,7.48,,,,,,,,,,,,,72,4343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
17,TP.Scar.Loyalsock,201106.TP.Scar.Loyalsock,08-Jun-11,Scar.Run,Loyalsock Creek,,,,Buck-a-Year camp upstream of Rt 87 bridge,306,4.9,,,,,,,,,,,,,44,2614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
18,TP.Streby.LickMillview,201106.TP.Streby.LickMillview,08-Jun-11,Streby.Run,Lick Creek (Millview),1:45:00 PM,,,Mouth,316,3.48,,,,,,,,,,,,,52,3108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
19,Cape.Loyalsock,201106.Cape.Loyalsock,09-Jun-11,Cape.Run,Loyalsock Creek,,,,Dave Hewitt property upstream of culvert on Splash Dam Rd,100,3.075,,,,,,,,,,,,,15,896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
20,Joes.Loyalsock,201106.Joes.Loyalsock,09-Jun-11,Joe.s.Run,Loyalsock Creek,,,,At the gate to Green Acres Baseball Camp,105,2.76,,,,,,,,,,,,,16,938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
21,Scar.LowerLoyalsock,201106.Scar.LowerLoyalsock,09-Jun-11,Scar.Run,Lower Loyalsock,,,,Buck-a-Year camp upstream of Rt 87 bridge,103,4.9,,,,,,,,,,,,,31,1887,968,516,403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
22,Slab.Loyalsock,201106.Slab.Loyalsock,09-Jun-11,Slab.Run,Loyalsock Creek,,,,Dry at mouth. Went up 260 m to find water,101,1.14,,,,,,,,,,,,,12,691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
23,TP.DryOgdonia.Loyalsock,201106.TP.DryOgdonia.Loyalsock,09-Jun-11,Dry.Run..Ogdonia.,Loyalsock Creek,,,,Behind DCNR office where Stony Run trail crosses creek,303,4.42,,,,,,,,,,,,,47,2814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
24,Barkshed.Loyalsock,201106.Barkshed.Loyalsock,10-Jun-11,Barkshed.Run,Loyalsock Creek,,,,Dave Hewitt property upstream of Rt 87 culvert,100,2.2,,,,,,,,,,,,,16,958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
25,DrySock.LowerLoyalsock,201106.DrySock.LowerLoyalsock,10-Jun-11,Dry.Run.Sock,Lower Loyalsock Creek,,,,Behind DCNR office where Stony Run trail crosses creek,103,4.42,,,,,,,,,,,,,34,2057,1075,982,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
26,Rocky.Santee,201106.Rocky.Santee,20-Jun-11,Rocky.Run,Santee Creek,,,,Above marshy area  at the confluence with Pine Marsh,101,3.62,,,,,,,,,,,,,16,966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
27,TP.FlagMarsh.Pigeon,201106.TP.FlagMarsh.Pigeon,20-Jun-11,Flag.Marsh.Run,Pigeon Creek,,,,Mouth,300,3.08,,,,,,,,,,,,,88,5293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
28,UnTtoMarsh.LittleLoyalsock,201106.UnTtoMarsh.LittleLoyalsock,20-Jun-11,Unnamed.Tributary.to.Marsh.Run,Little Loyalsock Creek,,,,Mouth to Marsh Run,130,2.76,,,,,,,,,,,,,15,919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
29,FlagMarsh.Pigeon,201106.FlagMarsh.Pigeon,21-Jun-11,Flag.Marsh.Run,Pigeon Creek,,,,Mouth,100,3.08,,,,,,700,,,700,,,,75,4511,2406,1178,927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
30,RockMuncy.Muncy,201106.RockMuncy.Muncy,21-Jun-11,Rock.Run..Muncy.,Muncy Creek,,,,Mouth at Muncy Creek,102,0.98,,,,,,,,,,,,,11,655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
31,South.Muncy,201106.South.Muncy,21-Jun-11,South.Branch,Muncy Creek,,,,Mouth,100,1.74,,,,,,,,,,,,,21,1258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
32,Cold.ShumansLake,201106.Cold.ShumansLake,22-Jun-11,Cold.Run,Shumans Lake,,,,At end of game road,100,4.04,,,,,,,,,,,,,14,825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
33,Dry.Muncy,201106.Dry.Muncy,22-Jun-11,Dry.Hollow,Muncy Creek,,,,40 meters upstream of mouth (first 40m were dry),101,0.72,,,,,,,,,,,,,5,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
34,LopezPond.Muncy,201106.LopezPond.Muncy,22-Jun-11,Lopez.Pond.Branch,Muncy Creek,,,,Mouth to Muncy Creek,100,2.3,,,,,,,,,,,,,22,1321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
35,Santee.Loyalsock,201106.Santee.Loyalsock,22-Jun-11,Santee.Creek,Loyalsock Creek,,,,Above Road Crossing (SR 1002-110),100,4.4,,,,,,,,,,,,,41,2481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
36,Wampole.LittleLoyalsock,201106.Wampole.LittleLoyalsock,22-Jun-11,Wampole.Run,Little Loyalsock Creek,,,,At mouth of Little Loyalcock,103,1.62,,,,,,,,,,,,,14,851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
37,Coal.Loyalsock,201106.Coal.Loyalsock,23-Jun-11,Coal.Run,Loyalsock Creek,,,,At mouth of Upper Loyalsock,105,1.7,,,,,,,,,,,,,22,1297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
38,YellowUpperLoyalsock.Loyalsock,201106.YellowUpperLoyalsock.Loyalsock,23-Jun-11,Yellow.Run..Upper.Loyalsock.,Loyalsock Creek,,,,,100,1.62,,,,,,,,,,,,,15,925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
39,Coal.UpperLoyalsock,201106.Coal.UpperLoyalsock,24-Jun-11,Coal.Run,Upper Loyalsock Creek,,,,At mouth of Upper Loyalsock,105,1.7,,,,,,550,,,550,,,,32,1909,1297,612,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
40,Mill.Loyalsock,201106.Mill.Loyalsock,24-Jun-11,Mill.Creek,Loyalsock Creek,,,,Mouth  upstream of railroad bridge,101,5.38,,,,,,,,,,,,,37,2197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
41,LickCherryMills.LittleLoyalsock,201106.LickCherryMills.LittleLoyalsock,27-Jun-11,Lick.Creek..Cherry.Mills.,Little Loyalsock Creek,2:00:00 PM,,,Above Gainer Hill Rd bridge in Cherry Mills,103,6.26,,,,,,,,,,,,,26,1539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
42,Ellis.UpperLoyalsock,201106.Ellis.Loyalsock,28-Jun-11,Ellis.Creek,Loyalsock Creek,,,,Gamelands 13,102,3.52,,,,,,,,,,,,,23,1372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
43,Ellis.UpperLoyalsock,201106.Ellis.UpperLoyalsock,28-Jun-11,Ellis.Creek,Upper Loyalsock Creek,,,,Gamelands 13,102,3.52,,,,,,800,,,800,,,,37,2249,1372,877,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
44,Lopez.Loyalsock,201106.Lopez.Loyalsock,28-Jun-11,Lopez.Creek,Loyalsock Creek,,,,Upstream of post office and acid runoff,102,13.4,,,,,,,,,,,,,61,3672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
45,MillMillview.LickMillview,201106.MillMillview.LickMillview,28-Jun-11,Mill.Creek..Millview.,Lick Creek (Millview),2:15:00 PM,,,At mouth to Lick Creek,108,4.2,,,,,,410,,,410,,,,29,1732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
46,BigBottom.LittleLoyalsock,201106.BigBottom.LittleLoyalsock,29-Jun-11,Big.Bottom.Run,Little Loyalsock Creek,,,,Upstream of culvert by Rt 87 bridge,101,2.72,,,,,,,,,,,,,18,1106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
47,MillCherryMills.LittleLoyalsock,201106.MillCherryMills.LittleLoyalsock,29-Jun-11,Mill.Creek..Cherry.Mills.,Little Loyalsock Creek,,,,Mouth,102,1.9,,,,,,,,,,,,,16,982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
48,Porter.Hoagland,201106.Porter.Hoagland,29-Jun-11,Porter.Creek,Hoagland Branch,,,,Confluence of Hoagland Branch,101,2.78,,,,,,350,,,350,,,,50,3004,1574,890,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
49,TP.Cherry.Muncy,201106.TP.Cherry.Muncy,29-Jun-11,Cherry.Run,Muncy Creek,,,,Cherry Run Rd above one-lane iron bridge on Cherry Run R&G Club,302,3.1,,,,,,,,,,,,,62,3736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
50,TP.Peters.Muncy,201106.TP.Peters.Muncy,29-Jun-11,Peter.s.Creek,Muncy Creek,,,,John Peterman property  1177 Peter s Creek Rd,304,2.14,,,,,,,,,,,,,59,3524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
51,TP.Porter.Hoagland,201106.TP.Porter.Hoagland,29-Jun-11,Porter.Creek,Hoagland Branch,,,,Confluence of Hoagland Branch,301,2.78,,,,,,,,,,,,,46,2784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
52,LongBrook.Muncy,201106.LongBrook.Muncy,30-Jun-11,Long.Brook,Muncy Creek,,,,Nordmont and Sonestown Road juntion with Long Brook Road,102,3.28,,,,,,,,,,,,,15,921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
53,Slip.Muncy,201106.Slip.Muncy,30-Jun-11,Slip.Run,Muncy Creek,,,,20 m above bridge on Muncy Creek Road,107,3.24,,,,,,,,,,,,,16,971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
54,Tublick.Muncy,201106.Tublick.Muncy,30-Jun-11,Tublick.Run,Muncy Creek,,,,Mouth to Muncy Creek,102,2.16,,,,,,,,,,,,,16,968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
55,Big.Muncy,201107.Big.Muncy,01-Jul-11,Big.Run,Muncy Creek,,,,200 meters above mouth  above posted signs,101,1.46,,,,,,,,,,,,,15,873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
56,DryLowerLoyalsock.Loyalsock,201107.DryLowerLoyalsock.Loyalsock,04-Jul-11,Dry.Run..Lower.Loyalsock.,Loyalsock Creek,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,CrookedRiffles.NA,201107.CrookedRiffles.NA,05-Jul-11,Crooked.Riffles.Hollow,,,,,Mouth to Hassler Run,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,LittleSwamp.Swamp,201107.LittleSwamp.Swamp,05-Jul-11,Little.Swamp.Run,Swamp Run,,,,Mouth (3.5 m tall waterfall at 90 m on site),100,1.94,,,,,,,,,,,,,20,1183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
59,Painter.LittleBear,201107.Painter.LittleBear,05-Jul-11,Painter.Run,Little Bear Creek,,,,Mouth to Little Bear Creek,104,2.64,,,,,,625,,,625,,,,52,3136,1883,847,406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
60,TP.Painter.LittleBear,201107.TP.Painter.LittleBear,05-Jul-11,Painter.Run,Little Bear Creek,,,,Mouth to Little Bear Creek,301,2.64,,,,,,,,,,,,,62,3722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
61,DryHB.Hoagland,201107.DryHB.Hoagland,06-Jul-11,Dry.Run.HB,Hoagland Branch,,,,Along Dry Run Road,105,1.56,,,,,,425,,,425,,,,25,1520,1074,446,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
62,EastMill.Mill,201107.EastMill.Mill,06-Jul-11,East.Branch.Mill.Creek,Mill Creek,,,,Upstream of Mill Creek Rd bridge,103,4.48,,,,,,,,,,,,,20,1197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
63,Swamp.Hoagland,201107.Swamp.Hoagland,06-Jul-11,Swamp.Run,Hoagland Branch,,,,Mouth,105,2.06,,,,,,375,,,375,,,,48,2856,1600,730,526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
64,TP.Brunnerdale.Ogdonia,201107.TP.Brunnerdale.Ogdonia,06-Jul-11,Brunnerdale.Run,Ogdonia Creek,,,,At mouth to Ogdonia Creek along Loyalsock Trail,302,2.16,,,,,,,,,,,,,51,3046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
65,TP.DryHoagland.Hoagland,201107.TP.DryHoagland.Hoagland,06-Jul-11,Dry.Run..Hoagland.Branch.,Hoagland Branch,,,,about 200m above mouth,300,1.56,,,,,,,,,,,,,44,2657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
66,Brunnerdale.Ogdonia,201107.Brunnerdale.Ogdonia,07-Jul-11,Brunnerdale.Run,Ogdonia Creek,,,,At mouth to Ogdonia Creek along Loyalsock Trail,102,2.16,,,,,,550,,,550,,,,53,3208,1838,888,482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
67,MiddleMill.Mill,201107.MiddleMill.Mill,07-Jul-11,Middle.Branch.Mill.Creek,Mill Creek,,,,Mouth to East Branch,102,2.98,,,,,,,,,,,,,16,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
68,WestMill.Mill,201107.WestMill.Mill,07-Jul-11,West.Branch.Mill.Creek,Mill Creek,,,,100 meters upstream of mouth to Mill Creek,102,2.8,,,,,,,,,,,,,16,957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
69,Red.LittleBear,201107.Red.LittleBear,08-Jul-11,Red.Run,Little Bear Creek,,,,Above Culvert on Little Bear Creek Road,102,2.38,,,,,,610,,,610,,,,51,3063,1662,871,530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
70,Sherman.UpperLoyalsock,201107.Sherman.UpperLoyalsock,08-Jul-11,Sherman.Run,Upper Loyalsock,,,,Above culvert at end of Main St. Lewis Lumber/ Sysock property,103,2.36,,,,,,600,,,600,,,,22,1312,868,444,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
71,TP.Red.LittleBear,201107.TP.Red.LittleBear,08-Jul-11,Red.Run,Little Bear Creek,,,,,302,2.38,,,,,,,,,,,,,70,4224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
72,PainterDen.Lopez,201107.PainterDen.Lopez,09-Jul-11,Painter.Den.Creek,Lopez Creek,,,,,101,9.7,,,,,,,,,,,,,23,1368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
73,TP.Grandad.Hessler,201107.TP.Grandad.Hessler,09-Jul-11,Grandad.Run,Hessler Branch,,,,At the mouth of Hessler Branch,302,2,,,,,,,,,,,,,64,3860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
74,TP.SandSpring.LittleBear,201107.TP.SandSpring.LittleBear,09-Jul-11,Sand.Spring.Run,Little Bear Creek,,,,Above culvert on Little Bear Creek,300,1.5,,,,,,,,,,,,,41,2481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
75,TP.Yellow.LittleLoyalsock,201107.TP.Yellow.LittleLoyalsock,09-Jul-11,Yellow.Run,Little Loyalsock Creek,,,,,302,2.26,,,,,,,,,,,,,37,2196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
76,Yellow.LittleLoyalsock,201107.Yellow.LittleLoyalsock,09-Jul-11,Yellow.Run,Little Loyalsock Creek,,,,Above Rt 87 Bridge,102,2.26,,,,,,400,,,400,,,,21,1264,713,551,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
77,Grandad.Hessler,201107.Grandad.Hessler,10-Jul-11,Grandad.Run,Hessler Branch,,,,At the mouth of Hessler Branch,102,2,,,,,,600,,,600,,,,34,2038,1405,633,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
78,SandSpring.LittleBear,201107.SandSpring.LittleBear,10-Jul-11,Sand.Spring.Run,Little Bear Creek,,,,Above culvert on Little Bear Creek,100,1.5,,,,,,700,,,700,,,,30,1823,968,474,381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
79,TP.Huckle.Loyalsock,201107.TP.Huckle.Loyalsock,10-Jul-11,Huckle.Run,Loyalsock Creek,,,,Stenzer property at mouth,210,1.76,,,,,,,,,,,,,46,2754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
80,Falls.Ogdonia,201107.Falls.Ogdonia,11-Jul-11,Falls.Run,Ogdonia Creek,,,,,102,1.16,,,,,,,,,,,,,8,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
81,Huckle.Loyalsock,201107.Huckle.Loyalsock,11-Jul-11,Huckle.Run,Loyalsock,,,,Stenzer property at mouth,101,1.76,,,,,,575,,,575,,,,45,2726,1853,873,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
82,Pine.Ogdonia,201107.Pine.Ogdonia,11-Jul-11,Pine.Run,Ogdonia Creek,,,,Above culvert on Ogdonia Rd.,101,1.16,,,,,,,,,,,,,16,957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
83,PineMarsh.Rocky,201107.PineMarsh.Rocky,11-Jul-11,Pine.Marsh.Creek,Rocky Run,,,,,102,2.18,,,,,,,,,,,,,21,1249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
84,BearCreek.Loyalsock,201107.BearCreek.Loyalsock,12-Jul-11,Bear.Creek,Loyalsock Creek,,,,Above bridge onto Grouse Club property from Dunwoody Club,110,6.9,,,,,,,,,,,,,31,1837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
85,Shingle.Bear,201107.Shingle.Bear,12-Jul-11,Shingle.Run,Bear Creek,,,,At mouth to Bear Creek,100,2.1,,,,,,620,,,620,,,,30,1816,893,606,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
86,Snake.Bear,201107.Snake.Bear,12-Jul-11,Snake.Run,Bear Creek,,,,50 m Above pond,100,2.3,,,,,,,,,,,,,13,790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
87,Snake.BearLoyalsock,201107.Snake.BearLoyalsock,12-Jul-11,Snake.Run,Bear Creek (Loyalsock),,,,50 m Above pond,100,2.3,,,,,,540,,,540,,,,20,1179,790,389,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
